cds,lea,county,i_exp,i_all,ii_exp,ii_all,iii_exp,iii_all,iii_plan_link
19647330101196,ICEF View Park Preparatory High,Los Angeles,160914,160914,637237,637237,1432472,1432472,https://4.files.edl.io/3294/01/17/22/013027-07cc0009-3791-4fa4-825e-f96c3067a5c2.pdf
19647330101444,KIPP Academy of Opportunity,Los Angeles,132458,132458,557967,557967,1254278,1254278,https://campussuite-storage.s3.amazonaws.com/prod/735103/5e2e7db8-b8d5-11e6-bf0d-22000bd8490f/2320878/bee0c598-1fd6-11ec-9075-0e89542fda31/file/KAO%202021_ESSER_III_Expenditure_Plan_20210914.pdf
19647330101659,"CATCH Prep Charter High, Inc.",Los Angeles,63650,63650,255573,255573,574512,574512,https://static1.squarespace.com/static/5967dda9db29d62c9596cbd6/t/625e09795d81381f6ad17a9c/1650330007806/CATCH_ESSERIII_ExpPlan_APPROVED.pdf
19647330101675,Oscar De La Hoya Animo Charter High,Los Angeles,218434,218434,865020,865020,1892024,1944514,
19647330101683,Renaissance Arts Academy,Los Angeles,101371,101371,425368,425368,940493,956202,https://www.renarts.org/_files/ugd/18d7e0_dc5981e0f86d48bf83e0ec357537ac27.pdf
19647330102335,Ocean Charter,Los Angeles,33014,33014,125349,125349,281778,281778,https://oceancs.org/wp-content/uploads/2022/03/OCS.ESSERIIIExpenditurePlan.rev_.3.10.22.pdf
19647330102426,PUC Milagro Charter,Los Angeles,98210,98210,378061,378061,302609,849859,https://www.pucmilagro.org/apps/pages/esser-expenditure-plan
19647330102434,Animo South Los Angeles Charter,Los Angeles,202199,202199,800730,800730,1799994,1799994,
19647330102442,PUC Lakeview Charter Academy,Los Angeles,116162,116162,445422,445422,272598,1001282,https://www.puclca.org/apps/pages/esser-expenditure-plan
19647330102483,N.E.W. Academy Canoga Park,Los Angeles,174916,174916,680031,680031,1528670,1528670,https://dwscbcy9jc8hm.cloudfront.net/sites/245/comfy/cms/files/76209/files/original/ESSER_III_Expenditure_Plan_NACP.pdf
19647330102541,New Designs Charter,Los Angeles,321532,321532,1208780,1208780,2717267,2717267,https://tb2cdn.schoolwebmasters.com/accnt_606843/site_606844/Documents/ESSER-III-Expenditure-Plan.pdf
19647330106351,Ivy Academia,Los Angeles,164420,164420,604840,604840,1359645,1359645,
